"Nr.","Typ","Phase","Baustatus","Bohrung","Passstück","Montage-Status","Abgelehnt","Module","Höhe (Soll)","Betriebs-ID","SP Status","Stapel","Pos","Stack bestellt","Stack geliefert","Vormontiert am","Primärkonstruktion montiert","Modulträger montiert","Kranstandorte nach Jahr","Bestellfristen","Birkhuhn","Planungszonen ILF","Bauphasen_STRABAG_260410"
"1413","E","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1997.47","B1-11-8","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 27_8.1 · 26_BP_B_8","26_1.6 || 2026-07-16","Schongebiet (#1)","PZ1 (#1)","26_1.6"
"1414","B","26n-B09T08-B1","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1994.67","B1-9-7","2","","","—","—","—","—","—","26_1.5/1.6/BP_B_7 · 26_BP_B_7 · 26_BP_B_8","26_BP_B_8 || 2026-08-18","Schongebiet (#1)","PZ1 (#1)","26_BP_B_8"
"1420","C","26v-B02T02-TG","Gebohrt","Gebohrt","Nicht berechnet","Nicht begonnen","","10","1977.96","TG.S-7-1","2","39","6","—","—","—","—","—","26_3.1/1.4 · 28_11.2 · 28_11.1","26_3.1 || 2026-06-12","","PZ1 (#1)","26_3.1"
"1448","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1975.84","","2","4","1","25.6.2025","22.7.2025","—","16.7.2025","22.7.2025","27_7.5 · 27_7.4 · 26_2.1","","","PZ25 (#12)",""
"1454","D","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","1993.26","TG.N-13-1","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1455","D","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","1992.66","TG.N-12-1","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1456","D","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","1992.23","TG.N-11-1","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1457","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","1991.53","TG.N-10-1","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1458","B","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2035.50","C5-22-2","2","","","—","—","—","—","—","26_4.5","26_4.5 || 2026-09-10","","PZ2 (#3)","26_4.5"
"1459","B","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2035.14","C5-21-2","2","","","—","—","—","—","—","26_4.5","26_4.5 || 2026-09-10","","PZ2 (#3)","26_4.5"
"1567","B","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2032.06","C5-17-2","2","","","—","—","—","—","—","26_4.3","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1568","C","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2023.83","C5-10-1","2","","","—","—","—","—","—","26_4.3 · 26_4.1","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
